jis,jis_zmk,us,us_zmk
“,DOUBLE_QUOTES,@,AT_SIGN
“,DQT,@,AT_SIGN
&,AMPERSAND,^,CARET
&,AMPS,^,CARET
',SINGLE_QUOTE,&,AMPERSAND
',SQT,&,AMPERSAND
',APOSTROPHE,&,AMPERSAND
',APOS,&,AMPERSAND
(,LEFT_PARENTHESIS,*,ASTERISK
(,LPAR,*,ASTERISK
),RIGHT_PARENTHESIS,(,LEFT_PARENTHESIS
),RPAR,(,LEFT_PARENTHESIS
=,EQUAL,_,UNDERSCORE
^,CARET,=,EQUAL
~,TILDE,+,PLUS
@,AT_SIGN,[,LEFT_BRACKET
@,AT,[,LEFT_BRACKET
`,GRAVE,{,LEFT_BRACE
[,LEFT_BRACKET,],RIGHT_BRACKET
[,LBKT,],RIGHT_BRACKET
{,LEFT_BRACE,},RIGHT_BRACE
{,LBRC,},RIGHT_BRACE
+,PLUS,:,COLON
:,COLON,',SINGLE_QUOTE
*,ASTERISK,“,DOUBLE_QUOTES
*,ASTRK,“,DOUBLE_QUOTES
*,STAR,“,DOUBLE_QUOTES
],RIGHT_BRACKET,\,BACKSLASH
],RBKT,\,BACKSLASH
},RIGHT_BRACE,|,PIPE
},RBRC,|,PIPE
|,PIPE,Shift+\,LS(INT_YEN) 
半角/全角,LANGUAGE_5,`,GRAVE
半角/全角,LANG5,`,GRAVE
半角/全角,LANG_ZENKAKUHANKAKU,`,GRAVE
_,UNDERSCORE,Shift+RO,LS(INT_RO)
_,UNDER,Shift+RO,LS(INT_RO)
